field,description
dataset_name,Thai Banana Cultivar Recaptured Screen Image Dataset (LED/LCD)
dataset_version,v1.0
task_type,Object Detection (Primary) with Class Labeling
total_images,10000
total_classes,10
image_source,Original camera domain + screen recapture (LED/LCD display)
annotation_format,YOLO format
annotation_type,Bounding Box
device_used,Standard camera (source domain) and smartphones (recapture domain)
lighting_conditions,"Controlled environment with variations in brightness, angle, and display screen intensity"
country,Thailand
dataset_split,90%Train(model learning and validation) 10%Test(held-out evaluation)
